Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Ahmad Bradshaw,97.0,36.0,1052.0,4843.0,36.0,1.9124999999999999,15.125,22.0,46.0,0,248.0,49.1,5.075,10.925,229.0,177.0,1429.0,7.9375,9.0,69.0,43.1375,74.275,5.925,29,6.0,0.0,31.0,85.0,0.0,10.0,1.7,10.7,0.0,1.0,0,5.0,32.3,23.0,2.7,14.2,5.2,14.0,10.0,64.0,6.4,3.0,5.0,57.1,71.4,4.6,870000.0
Alfonso Smith,49.0,0.0,55.0,175.0,2.0,0.3,1.8800000000000001,2.0,2.0,0,13.0,43.96666666666667,3.033333333333333,0.86,25.0,18.0,121.0,7.0,0.0,3.0,27.3,69.65,4.8,27,6.0,0.0,7.0,19.0,0.0,5.0,0.5,1.8,0.0,0.0,0,1.0,28.6,12.0,2.7,3.2,1.2,4.0,3.0,11.0,3.7,0.0,0.0,0.0,75.0,2.8,0.0
Antone Smith,59.0,0.0,29.0,286.0,4.0,0.28,4.58,1.0,4.0,0,10.0,52.166666666666664,10.766666666666666,0.5399999999999999,20.0,15.0,232.0,11.05,3.0,5.0,16.675,38.35,4.525,31,3.0,0.0,10.0,47.0,0.0,30.0,2.0,25.7,2.0,1.0,0,2.0,60.0,8.0,4.7,15.7,3.3,9.0,6.0,77.0,12.8,0.0,2.0,44.4,66.7,8.6,0.0
Antone Smith,59.0,0.0,29.0,286.0,4.0,0.28,4.58,1.0,4.0,0,10.0,52.166666666666664,10.766666666666666,0.5399999999999999,20.0,15.0,232.0,11.05,3.0,5.0,16.675,38.35,4.525,31,3.0,0.0,10.0,47.0,0.0,30.0,2.0,25.7,2.0,1.0,0,2.0,60.0,8.0,4.7,15.7,3.3,9.0,6.0,77.0,12.8,0.0,2.0,44.4,66.7,8.6,0.0
Antone Smith,59.0,0.0,29.0,286.0,4.0,0.28,4.58,1.0,4.0,0,10.0,52.166666666666664,10.766666666666666,0.5399999999999999,20.0,15.0,232.0,11.05,3.0,5.0,16.675,38.35,4.525,31,3.0,0.0,10.0,47.0,0.0,30.0,2.0,25.7,2.0,1.0,0,2.0,60.0,8.0,4.7,15.7,3.3,9.0,6.0,77.0,12.8,0.0,2.0,44.4,66.7,8.6,0.0
Ben Tate,51.0,15.0,540.0,2363.0,14.0,1.275,6.625,10.0,15.0,0,126.0,45.925,4.275,10.325,91.0,67.0,347.0,5.7,0.0,11.0,39.375,78.2,4.4,26,11.0,6.0,119.0,371.0,4.0,23.0,0.8,5.5,0.0,2.0,0,18.0,34.5,25.0,3.1,33.7,10.8,12.0,9.0,60.0,6.7,0.0,3.0,25.0,75.0,5.0,0.0
Bryce Brown,39.0,7.0,226.0,1004.0,6.0,1.2,11.300000000000002,5.0,8.0,0,55.0,44.76666666666667,4.2,5.666666666666667,57.0,37.0,316.0,8.6,0.0,13.0,40.800000000000004,64.63333333333334,5.466666666666666,24,3.0,0.0,25.0,72.0,1.0,0.0,0.0,0.0,0.0,1.0,0,6.0,36.0,18.0,2.9,24.0,8.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Spiller,70.0,36.0,668.0,3321.0,12.0,2.22,16.580000000000002,17.0,34.0,0,129.0,44.260000000000005,4.68,9.42,204.0,158.0,1195.0,7.26,6.0,57.0,45.46,78.9,5.7,30,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
Cedric Peerman,70.0,1.0,64.0,334.0,1.0,0.15,1.5666666666666664,1.0,4.0,0,13.0,13.219999999999999,3.54,0.75,18.0,13.0,123.0,9.799999999999999,0.0,8.0,32.775,48.325,4.625,30,6.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.3,4.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065000.0
Chris Johnson,111.0,99.0,1897.0,8628.0,51.0,2.685714285714286,19.37142857142857,19.0,73.0,0,363.0,42.028571428571425,4.5,17.099999999999998,404.0,296.0,2154.0,7.128571428571428,9.0,79.0,36.628571428571426,73.44285714285715,5.228571428571429,32,4.0,3.0,45.0,114.0,0.0,15.0,1.3,10.8,0.0,1.0,0,5.0,31.1,11.0,2.5,28.5,11.3,6.0,5.0,43.0,8.6,0.0,3.0,83.3,83.3,7.2,2000000.0
Chris Ogbonnaya,53.0,12.0,158.0,710.0,2.0,1.3800000000000001,11.219999999999999,5.0,7.0,0,33.0,50.36,4.26,3.38,140.0,96.0,714.0,10.275,2.0,33.0,33.42,52.82000000000001,5.04,28,7.0,0.0,14.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,57.1,9.0,3.6,7.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770000.0
Chris Ogbonnaya,53.0,12.0,158.0,710.0,2.0,1.3800000000000001,11.219999999999999,5.0,7.0,0,33.0,50.36,4.26,3.38,140.0,96.0,714.0,10.275,2.0,33.0,33.42,52.82000000000001,5.04,28,7.0,0.0,14.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.0,57.1,9.0,3.6,7.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
