Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Signed,Years,Value,Total_GTD
Alex Collins,50.0,29.0,483.0,1997.0,18.0,1.02,7.959999999999999,10.0,18.0,0,110.0,49.54,4.0600000000000005,8.82,80.0,59.0,467.0,7.279999999999999,1.0,23.0,54.96,75.06,5.7,27,11.0,6.0,108.0,411.0,2.0,28.0,0.8,7.9,1.0,3.0,0,22.0,50.9,25.0,3.8,37.4,9.8,10.0,9.0,87.0,9.7,0.0,3.0,60.0,90.0,8.7,False,0,0,0
Ameer Abdullah,91.0,23.0,409.0,1574.0,6.0,1.4000000000000001,11.485714285714286,9.0,17.0,0,79.0,39.785714285714285,3.957142857142857,4.957142857142857,165.0,119.0,865.0,7.9,7.0,51.0,54.65714285714286,77.74285714285715,6.271428571428571,31,16.0,3.0,66.0,311.0,2.0,24.0,2.5,16.3,2.0,4.0,0,14.0,50.0,40.0,4.7,19.4,4.1,47.0,40.0,261.0,6.5,3.0,16.0,59.6,85.1,5.6,True,1,"$1,187,500","$152,500"
Antonio Williams,1.0,0.0,12.0,63.0,2.0,1.0,20.0,0.0,1.0,0,4.0,58.3,5.3,12.0,1.0,1.0,20.0,20.0,0.0,1.0,100.0,100.0,20.0,25,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Austin Walter,9.0,0.0,27.0,104.0,1.0,0.26666666666666666,3.033333333333333,0.0,1.0,0,5.0,21.15,3.45,2.2666666666666666,4.0,3.0,36.0,15.75,0.0,2.0,66.65,83.35,15.0,25,4.0,0.0,26.0,101.0,1.0,11.0,0.5,2.3,0.0,1.0,0,5.0,42.3,14.0,3.9,25.3,6.5,3.0,2.0,9.0,4.5,0.0,1.0,33.3,66.7,3.0,False,0,0,0
Boston Scott,45.0,10.0,228.0,992.0,13.0,1.1500000000000001,9.25,7.0,9.0,0,57.0,52.53333333333333,4.333333333333333,3.975,78.0,62.0,499.0,7.8,1.0,21.0,46.9,81.0,6.3,28,15.0,0.0,20.0,86.0,0.0,27.0,0.3,3.5,1.0,1.0,0,5.0,50.0,18.0,4.3,5.7,1.3,6.0,4.0,52.0,13.0,0.0,2.0,33.3,66.7,8.7,True,1,"$1,750,000","$800,000"
Brandon Bolden,131.0,9.0,283.0,1297.0,12.0,0.7555555555555555,6.644444444444444,2.0,18.0,0,72.0,53.01111111111111,5.166666666666667,2.3555555555555556,138.0,100.0,902.0,7.466666666666667,6.0,45.0,37.81111111111111,67.72222222222223,5.144444444444444,33,17.0,0.0,4.0,31.0,1.0,,0.0,0.0,0.0,0.0,0,2.0,50.0,26.0,7.8,1.8,0.2,0.0,0.0,0.0,,0.0,0.0,,,,True,2,"$5,010,000","$2,375,000"
Buddy Howell,55.0,0.0,26.0,85.0,0.0,0.025,0.05,0.0,0.0,0,3.0,32.1,2.733333333333333,0.47500000000000003,2.0,1.0,3.0,3.0,0.0,0.0,0.0,50.0,1.5,25,10.0,0.0,5.0,11.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,2.2,1.1,0.5,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Carlos Hyde,102.0,60.0,1225.0,4979.0,37.0,1.525,8.325,18.0,36.0,0,255.0,45.5875,4.025,11.9625,225.0,157.0,867.0,5.1375,3.0,40.0,34.1875,69.9,3.65,31,12.0,2.0,72.0,253.0,1.0,9.0,1.0,5.4,2.0,2.0,0,14.0,50.0,18.0,3.5,21.1,6.0,21.0,12.0,65.0,5.4,0.0,1.0,38.1,57.1,3.1,False,0,0,0
Chase Edmonds,57.0,15.0,333.0,1551.0,9.0,2.275,16.375,4.0,18.0,0,80.0,46.75,4.574999999999999,6.05,164.0,128.0,921.0,7.2,5.0,42.0,42.125,76.07499999999999,5.35,27,13.0,0.0,49.0,176.0,0.0,14.0,1.1,6.2,0.0,2.0,0,8.0,46.9,21.0,3.6,13.5,3.8,17.0,14.0,81.0,5.8,0.0,5.0,58.8,82.4,4.8,True,2,"$12,100,000","$6,100,000"
Cordarrelle Patterson,143.0,49.0,320.0,1635.0,14.0,1.8777777777777775,18.422222222222224,10.0,41.0,0,77.0,59.72222222222222,7.433333333333334,2.2444444444444445,397.0,268.0,2635.0,9.088888888888889,15.0,124.0,46.51111111111111,72.76666666666667,6.4,33,13.0,1.0,32.0,135.0,0.0,20.0,0.9,6.2,1.0,2.0,0,7.0,43.8,14.0,4.2,10.4,2.5,14.0,12.0,80.0,6.7,1.0,5.0,50.0,85.7,5.7,True,2,"$10,500,000","$5,000,000"
