Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season
Alexander Mattison,89.0,26.0,716.0,2790.0,15.0,1.5333333333333332,11.433333333333332,6.0,24.0,0,145.0,42.28333333333333,3.9499999999999997,8.1,176.0,136.0,1012.0,7.599999999999999,7.0,40.0,43.85,79.76666666666667,6.083333333333333,26,14.0,7.0,132.0,420.0,4.0,31.0,2.6,21.0,1.0,4.0,0,25.0,35.6,24.0,3.2,30.0,9.4,48.0,36.0,294.0,8.2,1.0,13.0,35.4,75.0,6.1
Ameer Abdullah,141.0,26.0,494.0,1994.0,8.0,1.49,11.68,11.0,25.0,0,101.0,46.35,4.33,3.9899999999999998,268.0,203.0,1468.0,7.710000000000001,11.0,79.0,50.989999999999995,78.66,6.16,31,16.0,3.0,66.0,311.0,2.0,24.0,2.5,16.3,2.0,4.0,0,14.0,50.0,40.0,4.7,19.4,4.1,47.0,40.0,261.0,6.5,3.0,16.0,59.6,85.1,5.6
Avery Williams,17.0,3.0,22.0,109.0,1.0,0.8,3.6,1.0,0.0,0,6.0,45.5,5.0,1.3,14.0,13.0,61.0,4.7,0.0,3.0,35.7,92.9,4.4,24,17.0,3.0,22.0,109.0,1.0,10.0,0.8,3.6,1.0,,0,6.0,45.5,21.0,5.0,6.4,1.3,14.0,13.0,61.0,4.7,0.0,3.0,35.7,92.9,4.4
Cam Akers,53.0,17.0,502.0,2025.0,13.0,1.42,8.26,4.0,14.0,0,98.0,35.04,3.2399999999999998,8.68,65.0,52.0,388.0,6.959999999999999,4.0,18.0,35.239999999999995,84.06,5.64,25,17.0,2.0,104.0,444.0,2.0,9.0,0.8,4.0,1.0,3.0,0,21.0,38.5,58.0,4.3,26.1,6.1,18.0,14.0,68.0,4.9,3.0,4.0,33.3,77.8,3.8
Chase Edmonds,83.0,18.0,450.0,1972.0,11.0,1.9000000000000001,13.966666666666667,4.0,23.0,0,96.0,46.083333333333336,4.25,5.533333333333334,205.0,158.0,1159.0,7.3999999999999995,6.0,54.0,44.833333333333336,75.56666666666666,5.45,27,13.0,0.0,49.0,176.0,0.0,14.0,1.1,6.2,0.0,2.0,0,8.0,46.9,21.0,3.6,13.5,3.8,17.0,14.0,81.0,5.8,0.0,5.0,58.8,82.4,4.8
Chris Evans,34.0,1.0,19.0,89.0,0.0,0.5,4.633333333333334,0.0,2.0,0,3.0,20.6,5.25,0.5,22.0,19.0,188.0,7.266666666666666,3.0,8.0,36.266666666666666,87.73333333333333,5.8,26,8.0,0.0,2.0,12.0,0.0,-1.0,0.1,-0.1,0.0,0.0,0,0.0,0.0,7.0,6.0,1.5,0.3,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,100.0,-1.0
Craig Reynolds,53.0,2.0,151.0,654.0,1.0,0.5666666666666667,5.0,3.0,7.0,0,32.0,56.279999999999994,4.3,3.0500000000000003,29.0,25.0,258.0,9.2,0.0,12.0,50.5,87.5,7.7,28,17.0,0.0,31.0,139.0,0.0,26.0,0.2,2.4,1.0,1.0,0,6.0,54.8,19.0,4.5,8.2,1.8,5.0,3.0,40.0,13.3,0.0,2.0,60.0,60.0,8.0
D'Onta Foreman,63.0,24.0,623.0,2558.0,14.0,0.8285714285714285,9.4,9.0,18.0,0,120.0,38.699999999999996,3.4857142857142853,9.114285714285714,55.0,40.0,396.0,9.671428571428573,3.0,20.0,62.67142857142857,79.45714285714287,7.871428571428572,28,11.0,3.0,71.0,232.0,0.0,16.0,0.5,4.9,2.0,1.0,0,10.0,39.4,25.0,3.3,21.1,6.5,8.0,6.0,54.0,9.0,0.0,1.0,37.5,75.0,6.8
Darrynton Evans,24.0,0.0,65.0,249.0,1.0,0.72,5.779999999999999,0.0,3.0,0,15.0,34.78,3.3600000000000003,2.46,19.0,12.0,120.0,14.75,1.0,6.0,70.825,77.075,12.35,26,5.0,0.0,3.0,3.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,33.3,4.0,1.0,0.6,0.6,0.0,0.0,0.0,,0.0,0.0,,,
Elijah Mitchell,27.0,12.0,327.0,1523.0,9.0,0.9333333333333332,5.066666666666666,0.0,11.0,0,76.0,56.29999999999999,4.866666666666667,11.533333333333333,32.0,28.0,158.0,3.9333333333333336,1.0,8.0,45.833333333333336,81.66666666666667,3.5,25,11.0,1.0,75.0,281.0,2.0,9.0,0.5,1.3,0.0,2.0,0,14.0,48.0,18.0,3.7,25.5,6.8,8.0,6.0,14.0,2.3,0.0,2.0,37.5,75.0,1.8
