Team,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ARI  ARI,"$3,807,890","$3,112,551","$2,475,592","$5,886,709","$1,585,204","$2,364,707","$913,352","$2,674,336","$11,175,765","$13,115,113","$1,997,056"
ATL  ATL,"$10,012,750","$4,980,768","$1,594,641","$4,666,533","$5,492,872","$2,570,690","$-493,883","$6,942,849","$7,730,237","$6,888,021","$-22,928,287"
Averages,"$8,353,244","$11,099,258","$12,401,003","$10,450,747","$12,908,269","$10,026,175","$5,171,670","$4,773,032","$7,789,646","$13,248,262","$697,191"
BAL  BAL,"$3,914,077","$4,219,312","$4,540,933","$9,943,487","$-2,323,572","$6,920,153","$265,482","$382,480","$1,049,714","$1,890,784","$-7,916,155"
BUF  BUF,"$7,731,712","$5,035,157","$12,422,000","$9,186,883","$25,621,283","$2,648,254","$-960,520","$1,908,540","$-792,453","$552,172","$-17,399,020"
CAR  CAR,"$4,141,190","$18,761,241","$4,483,933","$-2,821,461","$9,040,974","$4,433,177","$4,745,701","$11,106,983","$5,379,990","$-862,719","$-9,182,398"
CHI  CHI,"$3,655,706","$8,265,326","$6,689,489","$5,347,070","$12,031,237","$7,811,988","$1,383,458","$5,203,095","$4,926,812","$5,419,854","$-11,051,637"
CIN  CIN,"$8,216,924","$6,281,306","$11,193,103","$8,456,694","$11,228,791","$10,809,739","$3,851,688","$1,999,932","$10,766,741","$6,093,862","$1,674,978"
CLE  CLE,"$22,119,840","$46,464,153","$59,915,427","$54,164,796","$32,328,127","$29,598,375","$9,266,018","$31,186,017","$29,876,309","$42,042,763","$-4,247,313"
DAL  DAL,"$10,761,815","$6,524,260","$9,111,598","$11,082,724","$18,360,084","$26,454,777","$4,635,488","$4,961,232","$10,801,968","$20,050,038","$-2,001"
DEN  DEN,"$4,967,125","$6,881,913","$11,413,689","$5,788,205","$12,726,531","$18,179,309","$12,465,470","$8,143,615","$1,129,738","$6,100,773","$-5,179,190"
DET  DET,"$1,102,197","$7,592,547","$7,312,612","$5,854,745","$17,783,369","$13,034,055","$1,134,882","$3,276,125","$3,800,950","$23,638,725","$18,202,061"
GB  GB,"$9,615,069","$9,232,264","$6,583,373","$5,368,150","$5,328,829","$4,058,809","$4,856,188","$3,552,343","$8,737,004","$16,128,199","$-3,541,311"
HOU  HOU,"$3,622,630","$5,125,112","$12,580,320","$15,060,484","$16,210,695","$7,232,473","$7,643,225","$1,333,357","$4,441,532","$5,762,155","$-18,313,621"
IND  IND,"$9,021,215","$8,126,686","$18,303,815","$49,789,659","$41,745,481","$8,513,188","$3,717,651","$7,088,783","$8,299,055","$10,423,917","$3,134,568"
JAX  JAX,"$32,355,703","$39,842,493","$34,574,646","$6,435,054","$10,868,564","$23,369,347","$28,496,887","$2,719,175","$8,947,864","$16,954,079","$16,445,302"
