Season,Player Name,Madden OVR,Notes
2015,DeMarco Murray,94,Signed with Eagles
2015,Frank Gore,90,Signed with Colts
2015,C.J. Spiller,87,Signed with Saints
2015,Ryan Mathews,85,Signed with Eagles
2015,Shane Vereen,84,Signed with Giants
2015,Justin Forsett,89,Re-signed with Ravens
2015,Stevan Ridley,82,Signed with Jets
2015,Reggie Bush,81,Signed with 49ers
2015,Knowshon Moreno,85,Not signed
2015,Chris Johnson,82,Signed with Cardinals
2015,Pierre Thomas,80,Signed with 49ers
2015,Ahmad Bradshaw,83,Signed with Colts
2015,Ben Tate,78,Released mid-season
2015,Daniel Thomas,75,Signed with Bears
2015,Ronnie Hillman,79,Re-signed with Broncos
2015,Joique Bell,80,Re-signed with Lions
2015,Bilal Powell,81,Re-signed with Jets
2015,Travaris Cadet,74,Signed with Patriots
2015,Lance Dunbar,75,Re-signed with Cowboys
2015,Toby Gerhart,76,Cut from Jaguars
2016,Matt Forte,89,Signed with Jets
2016,Lamar Miller,88,Signed with Texans
2016,Chris Ivory,87,Signed with Jaguars
2016,Doug Martin,86,Re-signed with Buccaneers
2016,James Starks,83,Re-signed with Packers
2016,LeGarrette Blount,82,Signed with Patriots
2016,Alfred Morris,81,Signed with Cowboys
2016,Joique Bell,80,Free agent
2016,Arian Foster,89,Released by Texans
2016,Reggie Bush,79,Signed with Bills
2016,Shaun Draughn,75,Signed with 49ers
2016,Ronnie Hillman,78,Signed with Vikings
2016,Bobby Rainey,76,Signed with Giants
2016,Pierre Thomas,74,Not signed
2016,Chris Polk,75,Free agent
2016,Khiry Robinson,75,Signed with Jets
2016,Dexter McCluster,77,Re-signed with Titans
2016,Brandon Bolden,78,Re-signed with Patriots
2016,Tim Hightower,77,Signed with Saints
2016,Bilal Powell,80,Re-signed with Jets
2017,Eddie Lacy,84,Signed with Seahawks
2017,Latavius Murray,83,Signed with Vikings
2017,LeGarrette Blount,85,Signed with Eagles
2017,Adrian Peterson,86,Signed with Saints
2017,Christine Michael,77,Signed with Colts
2017,Chris Johnson,80,Unsigned
2017,Tim Hightower,79,Signed with 49ers
2017,DeAngelo Williams,81,Retired
2017,James Starks,78,Released by Packers
2017,Matt Asiata,77,Signed with Lions
2017,Zac Stacy,75,Free agent
2017,Andre Ellington,78,Re-signed with Cardinals
2017,Branden Oliver,77,Signed with Chargers
2017,Joique Bell,76,Unsigned
2017,Karlos Williams,76,Unsigned
2017,Bishop Sankey,75,Free agent
2017,Khiry Robinson,74,Free agent
2017,Travaris Cadet,76,Signed with Bills
2017,Dexter McCluster,74,Free agent
2017,Brandon Wilds,73,Signed with Jets
2018,Carlos Hyde,86,Signed with Browns
2018,Jerrick McKinnon,84,Signed with 49ers
2018,Dion Lewis,89,Signed with Titans
2018,LeGarrette Blount,82,Signed with Lions
2018,Frank Gore,84,Signed with Dolphins
2018,Isaiah Crowell,82,Signed with Jets
2018,Doug Martin,80,Signed with Raiders
2018,Adrian Peterson,84,Signed with Redskins
2018,C.J. Anderson,83,Signed with Panthers
2018,Alfred Blue,79,Re-signed with Texans
2018,Jonathan Stewart,78,Signed with Giants
2018,Terrance West,77,Free agent
2018,Charcandrick West,76,Signed with Chiefs
2018,Shane Vereen,78,Unsigned
2018,Benny Cunningham,76,Re-signed with Bears
2018,Tre Mason,75,Out of NFL
2018,Branden Oliver,75,Free agent
2018,Matt Asiata,74,Free agent
2018,Zach Zenner,75,Signed with Lions
2018,Fozzy Whittaker,75,Re-signed with Panthers
2019,Mark Ingram,88,Signed with Ravens
2019,Tevin Coleman,86,Signed with 49ers
2019,Latavius Murray,85,Signed with Saints
2019,T.J. Yeldon,82,Signed with Bills
2019,Jay Ajayi,83,Free agent
2019,LeGarrette Blount,81,Unsigned
2019,Adrian Peterson,84,Re-signed with Redskins
2019,C.J. Anderson,84,Free agent
2019,Spencer Ware,82,Signed with Colts
2019,Ty Montgomery,81,Signed with Jets
2019,Darren Sproles,80,Re-signed with Eagles
2019,Zach Zenner,78,Signed with Lions
2019,Ameer Abdullah,78,Signed with Vikings
2019,Kapri Bibbs,77,Free agent
2019,Jacquizz Rodgers,77,Unsigned
2019,Orleans Darkwa,77,Free agent
2019,Jonathan Williams,76,Signed with Colts
2019,Travaris Cadet,75,Unsigned
2019,Elijah McGuire,76,Waived by Jets
2019,Alex Collins,78,Free agent
2020,Melvin Gordon,89,Signed with Broncos
2020,Todd Gurley,87,Signed with Falcons
2020,Devonta Freeman,86,Signed with Giants
